Book_Title,Book_Author,Year_Of_Publication,Publisher,avg_rating,num_ratings,Image_URL_L
Watership Down,Richard Adams,1976.0,Avon,8.62,100,http://images.amazon.com/images/P/0380002930.01.LZZZZZZZ.jpg
Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right,Al Franken,2003.0,Dutton Books,8.615384615384615,65,http://images.amazon.com/images/P/0525947647.01.LZZZZZZZ.jpg
"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",MITCH ALBOM,1997.0,Doubleday,8.615,200,http://images.amazon.com/images/P/0385484518.01.LZZZZZZZ.jpg
A Prayer for Owen Meany,John Irving,1990.0,Ballantine Books,8.607734806629834,181,http://images.amazon.com/images/P/0345361792.01.LZZZZZZZ.jpg
Free,Paul Vincent,2003.0,Upfront Publishing,8.6,50,http://images.amazon.com/images/P/1844262553.01.LZZZZZZZ.jpg
A Wrinkle in Time,Madeleine L'Engle,1976.0,Laure Leaf,8.597402597402597,77,http://images.amazon.com/images/P/0440998050.01.LZZZZZZZ.jpg
Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,1989.0,McGraw-Hill,8.593023255813954,86,http://images.amazon.com/images/P/0070212570.01.LZZZZZZZ.jpg
The Curious Incident of the Dog in the Night-Time (Vintage Contemporaries),Mark Haddon,2004.0,Vintage,8.588235294117647,51,http://images.amazon.com/images/P/1400032717.01.LZZZZZZZ.jpg
Outlander,DIANA GABALDON,1992.0,Dell,8.58095238095238,105,http://images.amazon.com/images/P/0440212561.01.LZZZZZZZ.jpg
The Phantom Tollbooth,Norton Juster,1993.0,Yearling Books,8.551724137931034,58,http://images.amazon.com/images/P/0394820371.01.LZZZZZZZ.jpg
Night,Elie Wiesel,1982.0,Bantam Books,8.532608695652174,92,http://images.amazon.com/images/P/0553272535.01.LZZZZZZZ.jpg
The Bean Trees,Barbara Kingsolver,1989.0,Perennial,8.521367521367521,117,http://images.amazon.com/images/P/0060915544.01.LZZZZZZZ.jpg
The Secret Life of Bees,Sue Monk Kidd,2002.0,Viking Books,8.516129032258064,62,http://images.amazon.com/images/P/0670894605.01.LZZZZZZZ.jpg
"Key of Valor (Roberts, Nora. Key Trilogy, 3.)",Nora Roberts,2003.0,Jove Pubns,8.509803921568627,51,http://images.amazon.com/images/P/0515136530.01.LZZZZZZZ.jpg
Four Blind Mice,James Patterson,2002.0,"Little, Brown",8.508474576271187,59,http://images.amazon.com/images/P/0316693006.01.LZZZZZZZ.jpg
Fight Club,Chuck Palahniuk,1999.0,Owl Books,8.5,50,http://images.amazon.com/images/P/0805062971.01.LZZZZZZZ.jpg
"Eats, Shoots &amp; Leaves: The Zero Tolerance Approach to Punctuation",Lynne Truss,2004.0,Gotham Books,8.5,56,http://images.amazon.com/images/P/1592400876.01.LZZZZZZZ.jpg
One Flew Over the Cuckoo's Nest,Ken Kesey,1989.0,Signet Book,8.5,54,http://images.amazon.com/images/P/0451163966.01.LZZZZZZZ.jpg
Siddhartha,Hermann Hesse,1981.0,Bantam Classics,8.5,52,http://images.amazon.com/images/P/0553208845.01.LZZZZZZZ.jpg
The Handmaid's Tale,Margaret Atwood,1989.0,Fawcett Books,8.495495495495495,111,http://images.amazon.com/images/P/0449212602.01.LZZZZZZZ.jpg
The Color Purple,Alice Walker,1990.0,Pocket,8.492753623188406,69,http://images.amazon.com/images/P/0671727796.01.LZZZZZZZ.jpg
The Green Mile,Stephen King,1999.0,Pocket,8.48936170212766,94,http://images.amazon.com/images/P/0671041789.01.LZZZZZZZ.jpg
The Stand: Complete and Uncut,Stephen King,1991.0,Signet Book,8.485714285714286,70,http://images.amazon.com/images/P/0451169530.01.LZZZZZZZ.jpg
Seabiscuit: An American Legend,LAURA HILLENBRAND,2002.0,Ballantine Books,8.483333333333333,120,http://images.amazon.com/images/P/0449005615.01.LZZZZZZZ.jpg
"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",Mitch Albom,2002.0,Broadway,8.48,50,http://images.amazon.com/images/P/076790592X.01.LZZZZZZZ.jpg
Dragonfly in Amber,DIANA GABALDON,1993.0,Dell,8.471428571428572,70,http://images.amazon.com/images/P/0440215625.01.LZZZZZZZ.jpg
Ishmael: An Adventure of the Mind and Spirit,Daniel Quinn,1995.0,Bantam,8.457446808510639,94,http://images.amazon.com/images/P/0553375407.01.LZZZZZZZ.jpg
The Secret Life of Bees,Sue Monk Kidd,2003.0,Penguin Books,8.452768729641694,307,http://images.amazon.com/images/P/0142001740.01.LZZZZZZZ.jpg
Tears of the Giraffe (No.1 Ladies Detective Agency),Alexander McCall Smith,2002.0,Anchor,8.452631578947368,95,http://images.amazon.com/images/P/1400031354.01.LZZZZZZZ.jpg
The Da Vinci Code,Dan Brown,2003.0,Doubleday,8.435318275154003,487,http://images.amazon.com/images/P/0385504209.01.LZZZZZZZ.jpg
The Other Boleyn Girl,Philippa Gregory,2002.0,Touchstone,8.431818181818182,88,http://images.amazon.com/images/P/0743227441.01.LZZZZZZZ.jpg
Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,2002.0,Perennial,8.415584415584416,154,http://images.amazon.com/images/P/0060938455.01.LZZZZZZZ.jpg
The Notebook,Nicholas Sparks,1996.0,Warner Books,8.410714285714286,56,http://images.amazon.com/images/P/0446520802.01.LZZZZZZZ.jpg
Tribulation Force: The Continuing Drama of Those Left Behind (Left Behind No. 2),Tim LaHaye,1997.0,Tyndale House Publishers,8.406976744186046,86,http://images.amazon.com/images/P/0842329218.01.LZZZZZZZ.jpg
Their Eyes Were Watching God: A Novel,Zora Neale Hurston,1990.0,Perennial,8.403846153846153,52,http://images.amazon.com/images/P/0060916508.01.LZZZZZZZ.jpg
The Hitchhiker's Guide to the Galaxy,Douglas Adams,1995.0,Ballantine Books,8.402777777777779,72,http://images.amazon.com/images/P/0345391802.01.LZZZZZZZ.jpg
One for the Money (A Stephanie Plum Novel),Janet Evanovich,2003.0,St. Martin's Paperbacks,8.397058823529411,68,http://images.amazon.com/images/P/0312990456.01.LZZZZZZZ.jpg
The Pillars of the Earth,Ken Follett,1996.0,Signet Book,8.39080459770115,87,http://images.amazon.com/images/P/0451166892.01.LZZZZZZZ.jpg
Evening Class,Maeve Binchy,1998.0,Dell Publishing Company,8.38888888888889,54,http://images.amazon.com/images/P/0440223202.01.LZZZZZZZ.jpg
ANGELA'S ASHES,Frank McCourt,1996.0,Scribner,8.386363636363637,132,http://images.amazon.com/images/P/0684874350.01.LZZZZZZZ.jpg
Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,2002.0,St. Martin's Press,8.384615384615385,52,http://images.amazon.com/images/P/0312265859.01.LZZZZZZZ.jpg
The Poisonwood Bible,Barbara Kingsolver,1999.0,HarperCollins,8.384615384615385,78,http://images.amazon.com/images/P/0060175400.01.LZZZZZZZ.jpg
The Eyre Affair: A Novel,Jasper Fforde,2003.0,Penguin Books,8.382352941176471,68,http://images.amazon.com/images/P/0142001805.01.LZZZZZZZ.jpg
Animal Farm,George Orwell,2004.0,Signet,8.369565217391305,92,http://images.amazon.com/images/P/0451526341.01.LZZZZZZZ.jpg
Silence of the Lambs,Thomas Harris,1991.0,St. Martin's Press,8.366071428571429,112,http://images.amazon.com/images/P/0312924585.01.LZZZZZZZ.jpg
Interpreter of Maladies,Jhumpa Lahiri,1999.0,Houghton Mifflin Co,8.364864864864865,74,http://images.amazon.com/images/P/039592720X.01.LZZZZZZZ.jpg
Lolita (Vintage International),VLADIMIR NABOKOV,1989.0,Vintage,8.36,50,http://images.amazon.com/images/P/0679723161.01.LZZZZZZZ.jpg
I Know This Much Is True (Oprah's Book Club),Wally Lamb,1998.0,Regan Books,8.36,75,http://images.amazon.com/images/P/0060391626.01.LZZZZZZZ.jpg
The Handmaid's Tale : A Novel,Margaret Atwood,1998.0,Anchor,8.35820895522388,67,http://images.amazon.com/images/P/038549081X.01.LZZZZZZZ.jpg
High Five (A Stephanie Plum Novel),Janet Evanovich,2000.0,St. Martin's Paperbacks,8.352941176470589,85,http://images.amazon.com/images/P/0312971346.01.LZZZZZZZ.jpg
The Last Juror,John Grisham,2004.0,Doubleday,8.34920634920635,63,http://images.amazon.com/images/P/0385510438.01.LZZZZZZZ.jpg
High Fidelity,Nick Hornby,1996.0,Riverhead Books,8.346153846153847,52,http://images.amazon.com/images/P/1573225517.01.LZZZZZZZ.jpg
Slaughterhouse Five or the Children's Crusade: A Duty Dance With Death,Kurt Vonnegut,1991.0,Laurel,8.337349397590362,83,http://images.amazon.com/images/P/0440180295.01.LZZZZZZZ.jpg
"Dude, Where's My Country?",Michael Moore,2003.0,Warner Books,8.337078651685394,89,http://images.amazon.com/images/P/0446532231.01.LZZZZZZZ.jpg
The Curious Incident of the Dog in the Night-Time (Today Show Book Club #13),Mark Haddon,2003.0,Doubleday,8.333333333333334,54,http://images.amazon.com/images/P/0385512104.01.LZZZZZZZ.jpg
Stranger in a Strange Land (Remembering Tomorrow),Robert A. Heinlein,1995.0,ACE Charter,8.333333333333334,72,http://images.amazon.com/images/P/0441790348.01.LZZZZZZZ.jpg
Year of Wonders,Geraldine Brooks,2002.0,Penguin Books,8.318181818181818,88,http://images.amazon.com/images/P/0142001430.01.LZZZZZZZ.jpg
What to Expect the First Year,Arlene Eisenberg,1989.0,Workman Publishing,8.313725490196079,51,http://images.amazon.com/images/P/0894805770.01.LZZZZZZZ.jpg
Middlesex: A Novel,Jeffrey Eugenides,2003.0,Picador,8.305084745762711,59,http://images.amazon.com/images/P/0312422156.01.LZZZZZZZ.jpg
C Is for Corpse (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1987.0,Bantam,8.296296296296296,54,http://images.amazon.com/images/P/0553280368.01.LZZZZZZZ.jpg
Of Mice and Men (Penguin Great Books of the 20th Century),John Steinbeck,1993.0,Penguin Books,8.294117647058824,51,http://images.amazon.com/images/P/0140177396.01.LZZZZZZZ.jpg
"Like Water for Chocolate: A Novel in Monthly Installments, With Recipes, Romances, and Home Remedies",Laura Esquivel,1992.0,Doubleday Books,8.278688524590164,61,http://images.amazon.com/images/P/0385420161.01.LZZZZZZZ.jpg
Prodigal Summer,Barbara Kingsolver,2000.0,HarperCollins,8.266666666666667,60,http://images.amazon.com/images/P/0060199652.01.LZZZZZZZ.jpg
I Know This Much Is True,Wally Lamb,1999.0,Regan Books,8.26595744680851,94,http://images.amazon.com/images/P/0060987561.01.LZZZZZZZ.jpg
What to Expect When You're Expecting (Revised Edition),Arlene Eisenberg,1996.0,Workman Pub Co,8.265625,64,http://images.amazon.com/images/P/089480829X.01.LZZZZZZZ.jpg
Angela's Ashes: A Memoir,Frank McCourt,1999.0,Scribner,8.26530612244898,98,http://images.amazon.com/images/P/068484267X.01.LZZZZZZZ.jpg
Two for the Dough,Janet Evanovich,1996.0,Pocket,8.258928571428571,112,http://images.amazon.com/images/P/0671001795.01.LZZZZZZZ.jpg
Nicolae: The Rise of Antichrist (Left Behind No. 3),Tim F. Lahaye,1998.0,Tyndale House Publishers,8.254237288135593,59,http://images.amazon.com/images/P/0842329242.01.LZZZZZZZ.jpg
Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich,2002.0,Owl Books,8.253731343283581,134,http://images.amazon.com/images/P/0805063897.01.LZZZZZZZ.jpg
The Color of Water: A Black Man's Tribute to His White Mother,James McBride,1997.0,Riverhead Books,8.25,92,http://images.amazon.com/images/P/1573225789.01.LZZZZZZZ.jpg
The House of the Spirits,Isabel Allende,1986.0,Bantam Books,8.246153846153845,65,http://images.amazon.com/images/P/0553273914.01.LZZZZZZZ.jpg
Sisterhood of the Traveling Pants,ANN BRASHARES,2003.0,Delacorte Books for Young Readers,8.245901639344263,61,http://images.amazon.com/images/P/0385730586.01.LZZZZZZZ.jpg
Seabiscuit,LAURA HILLENBRAND,2003.0,Ballantine Books,8.241935483870968,62,http://images.amazon.com/images/P/0345465083.01.LZZZZZZZ.jpg
The Sparrow,MARY DORIA RUSSELL,1997.0,Fawcett Books,8.24,50,http://images.amazon.com/images/P/0449912558.01.LZZZZZZZ.jpg
Bastard Out of Carolina,Dorothy Allison,1993.0,Plume Books,8.238095238095237,63,http://images.amazon.com/images/P/0452269571.01.LZZZZZZZ.jpg
The Perks of Being a Wallflower,Stephen Chbosky,1999.0,MTV,8.23076923076923,65,http://images.amazon.com/images/P/0671027344.01.LZZZZZZZ.jpg
Lucky Man: A Memoir,Michael J. Fox,2002.0,Hyperion,8.23076923076923,65,http://images.amazon.com/images/P/0786867647.01.LZZZZZZZ.jpg
Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,2003.0,St. Martin's Paperbacks,8.228571428571428,70,http://images.amazon.com/images/P/0312983867.01.LZZZZZZZ.jpg
Catch 22,Joseph Heller,1996.0,Simon &amp; Schuster,8.226415094339623,53,http://images.amazon.com/images/P/0684833395.01.LZZZZZZZ.jpg
Coraline,Neil Gaiman,2002.0,HarperCollins,8.222222222222221,63,http://images.amazon.com/images/P/0380977788.01.LZZZZZZZ.jpg
Intensity,DEAN KOONTZ,1996.0,Ballantine Books,8.22,50,http://images.amazon.com/images/P/0345384369.01.LZZZZZZZ.jpg
The Clan of the Cave Bear (Earth's Children (Paperback)),Jean M. Auel,1984.0,Bantam Books,8.213483146067416,89,http://images.amazon.com/images/P/0553250426.01.LZZZZZZZ.jpg
The Talisman,STEPHEN KING,2001.0,Ballantine Books,8.211538461538462,52,http://images.amazon.com/images/P/0345444884.01.LZZZZZZZ.jpg
A Walk in the Woods: Rediscovering America on the Appalachian Trail (Official Guides to the Appalachian Trail),Bill Bryson,1999.0,Broadway Books,8.20754716981132,106,http://images.amazon.com/images/P/0767902521.01.LZZZZZZZ.jpg
The Lost Boy: A Foster Child's Search for the Love of a Family,Dave Pelzer,1997.0,Health Communications,8.2,70,http://images.amazon.com/images/P/1558745157.01.LZZZZZZZ.jpg
The Joy Luck Club,Amy Tan,1994.0,Prentice Hall (K-12),8.195876288659793,194,http://images.amazon.com/images/P/0804106304.01.LZZZZZZZ.jpg
Lucky : A Memoir,Alice Sebold,2002.0,Back Bay Books,8.19548872180451,133,http://images.amazon.com/images/P/0316096199.01.LZZZZZZZ.jpg
Good Omens,Neil Gaiman,1996.0,Ace Books,8.195402298850574,87,http://images.amazon.com/images/P/0441003257.01.LZZZZZZZ.jpg
The World According to Garp,John Irving,1994.0,Ballantine Books,8.186440677966102,59,http://images.amazon.com/images/P/034536676X.01.LZZZZZZZ.jpg
The Lovely Bones: A Novel,Alice Sebold,2002.0,"Little, Brown",8.185289957567186,707,http://images.amazon.com/images/P/0316666343.01.LZZZZZZZ.jpg
The Red Tent (Bestselling Backlist),Anita Diamant,1998.0,Picador USA,8.182767624020888,383,http://images.amazon.com/images/P/0312195516.01.LZZZZZZZ.jpg
Naked,David Sedaris,1998.0,Back Bay Books,8.17910447761194,67,http://images.amazon.com/images/P/0316777730.01.LZZZZZZZ.jpg
The Poisonwood Bible: A Novel,Barbara Kingsolver,1999.0,Perennial,8.178899082568808,218,http://images.amazon.com/images/P/0060930535.01.LZZZZZZZ.jpg
The Blue Nowhere : A Novel,Jeffery Deaver,2002.0,Pocket,8.17741935483871,62,http://images.amazon.com/images/P/0671042262.01.LZZZZZZZ.jpg
Memoirs of a Geisha Uk,Arthur Golden,1996.0,Trafalgar Square,8.174418604651162,86,http://images.amazon.com/images/P/0099771519.01.LZZZZZZZ.jpg
Prodigal Summer: A Novel,Barbara Kingsolver,2001.0,Perennial,8.159420289855072,138,http://images.amazon.com/images/P/0060959037.01.LZZZZZZZ.jpg
Three To Get Deadly : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,1998.0,St. Martin's Paperbacks,8.157894736842104,95,http://images.amazon.com/images/P/0312966091.01.LZZZZZZZ.jpg
Bel Canto: A Novel,Ann Patchett,2002.0,Perennial,8.150943396226415,159,http://images.amazon.com/images/P/0060934417.01.LZZZZZZZ.jpg
Where the Heart Is (Oprah's Book Club (Paperback)),Billie Letts,1998.0,Warner Books,8.142372881355932,295,http://images.amazon.com/images/P/0446672211.01.LZZZZZZZ.jpg
All Around the Town,Mary Higgins Clark,1993.0,Pocket Star,8.140350877192983,57,http://images.amazon.com/images/P/0671793489.01.LZZZZZZZ.jpg
Life of Pi,Yann Martel,2002.0,Harcourt,8.138297872340425,94,http://images.amazon.com/images/P/0151008116.01.LZZZZZZZ.jpg
Atlas Shrugged,Ayn Rand,1996.0,Signet Book,8.137931034482758,58,http://images.amazon.com/images/P/0451191145.01.LZZZZZZZ.jpg
"The Gunslinger (The Dark Tower, Book 1)",Stephen King,1994.0,New American Library,8.137931034482758,58,http://images.amazon.com/images/P/0451160525.01.LZZZZZZZ.jpg
Go Ask Alice,Anonymous,1998.0,Simon Pulse,8.137254901960784,51,http://images.amazon.com/images/P/0689817851.01.LZZZZZZZ.jpg
Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999.0,St. Martin's Paperbacks,8.135922330097088,103,http://images.amazon.com/images/P/0312966970.01.LZZZZZZZ.jpg
The Boy Next Door,Meggin Cabot,2002.0,Avon Trade,8.132075471698114,53,http://images.amazon.com/images/P/0060096195.01.LZZZZZZZ.jpg
Pretend You Don't See Her,Mary Higgins Clark,1998.0,Pocket,8.127272727272727,55,http://images.amazon.com/images/P/0671867156.01.LZZZZZZZ.jpg
Roses Are Red (Alex Cross Novels),James Patterson,2001.0,Warner Vision,8.117647058823529,85,http://images.amazon.com/images/P/0446605484.01.LZZZZZZZ.jpg
Love in the Time of Cholera (Penguin Great Books of the 20th Century),Gabriel Garcia Marquez,1994.0,Penguin Books,8.116666666666667,60,http://images.amazon.com/images/P/0140119906.01.LZZZZZZZ.jpg
The Amazing Adventures of Kavalier &amp; Clay,Michael Chabon,2001.0,Picador,8.106382978723405,94,http://images.amazon.com/images/P/0312282990.01.LZZZZZZZ.jpg
Jonathan Livingston Seagull,Richard Bach,1976.0,Avon,8.105263157894736,57,http://images.amazon.com/images/P/0380012863.01.LZZZZZZZ.jpg
Cold Mountain,Charles Frazier,1997.0,Atlantic Monthly Press,8.102564102564102,78,http://images.amazon.com/images/P/0871136791.01.LZZZZZZZ.jpg
Shopaholic Takes Manhattan (Summer Display Opportunity),Sophie Kinsella,2002.0,Delta,8.101123595505618,89,http://images.amazon.com/images/P/0385335881.01.LZZZZZZZ.jpg
Angels &amp; Demons,Dan Brown,2001.0,Pocket Star,8.100371747211897,269,http://images.amazon.com/images/P/0671027360.01.LZZZZZZZ.jpg
Key of Light (Key Trilogy (Paperback)),Nora Roberts,2003.0,Jove Books,8.1,50,http://images.amazon.com/images/P/051513628X.01.LZZZZZZZ.jpg
Cruel &amp; Unusual (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1994.0,Avon,8.1,80,http://images.amazon.com/images/P/0380718340.01.LZZZZZZZ.jpg
The Valley of Horses,JEAN M. AUEL,1984.0,Bantam,8.1,70,http://images.amazon.com/images/P/0553250531.01.LZZZZZZZ.jpg
Into Thin Air : A Personal Account of the Mt. Everest Disaster,JON KRAKAUER,1998.0,Anchor,8.08695652173913,138,http://images.amazon.com/images/P/0385492081.01.LZZZZZZZ.jpg
Seven Up (A Stephanie Plum Novel),Janet Evanovich,2002.0,St. Martin's Paperbacks,8.08695652173913,92,http://images.amazon.com/images/P/0312980140.01.LZZZZZZZ.jpg
White Oleander : A Novel,Janet Fitch,2001.0,"Little, Brown",8.076923076923077,52,http://images.amazon.com/images/P/0316182540.01.LZZZZZZZ.jpg
The Alchemist: A Fable About Following Your Dream,Paulo Coelho,1995.0,HarperSanFrancisco,8.076190476190476,105,http://images.amazon.com/images/P/0062502182.01.LZZZZZZZ.jpg
I Know Why the Caged Bird Sings,MAYA ANGELOU,1983.0,Bantam,8.073529411764707,68,http://images.amazon.com/images/P/0553279378.01.LZZZZZZZ.jpg
The Thorn Birds,Colleen McCullough,1978.0,Avon,8.068493150684931,73,http://images.amazon.com/images/P/0380018179.01.LZZZZZZZ.jpg
Q Is for Quarry,Sue Grafton,2002.0,Putnam Publishing Group,8.065573770491802,61,http://images.amazon.com/images/P/0399149155.01.LZZZZZZZ.jpg
Circle of Friends,Maeve Binchy,1991.0,Dell,8.0625,80,http://images.amazon.com/images/P/0440211263.01.LZZZZZZZ.jpg
STONES FROM THE RIVER,Ursula Hegi,1997.0,Touchstone,8.056,125,http://images.amazon.com/images/P/068484477X.01.LZZZZZZZ.jpg
A Fine Balance,Rohinton Mistry,2001.0,Vintage Books USA,8.051724137931034,58,http://images.amazon.com/images/P/140003065X.01.LZZZZZZZ.jpg
The No. 1 Ladies' Detective Agency (Today Show Book Club #8),Alexander McCall Smith,2003.0,Anchor,8.049180327868852,183,http://images.amazon.com/images/P/1400034779.01.LZZZZZZZ.jpg
Good in Bed,Jennifer Weiner,2002.0,Washington Square Press,8.046610169491526,236,http://images.amazon.com/images/P/0743418174.01.LZZZZZZZ.jpg
Tell No One,Harlan Coben,2002.0,Dell Publishing Company,8.044444444444444,90,http://images.amazon.com/images/P/0440236703.01.LZZZZZZZ.jpg
The Honk and Holler Opening Soon,Billie Letts,1999.0,Warner Books,8.04,50,http://images.amazon.com/images/P/0446675059.01.LZZZZZZZ.jpg
The Tao of Pooh,Benjamin Hoff,1983.0,Penguin Books,8.03960396039604,101,http://images.amazon.com/images/P/0140067477.01.LZZZZZZZ.jpg
Dance upon the Air (Three Sisters Island Trilogy),Nora Roberts,2003.0,Jove Books,8.038095238095238,105,http://images.amazon.com/images/P/0515131229.01.LZZZZZZZ.jpg
Chocolat,Joanne Harris,2000.0,Black Swan,8.037735849056604,53,http://images.amazon.com/images/P/0552998486.01.LZZZZZZZ.jpg
Along Came a Spider (Alex Cross Novels),James Patterson,1993.0,Warner Books,8.03448275862069,116,http://images.amazon.com/images/P/0446364193.01.LZZZZZZZ.jpg
